,Year,Month,Type,From,To,Date,Player,Position,Transaction
19,2016,2,waivers,Eagles  Eagles,--,02/10,Matthew Tucker,,"Terminated Via Waivers, all contracts"
20,2016,2,waivers,Patriots  Patriots,--,02/10,Montee Ball,,"Terminated Via Waivers, all contracts"
21,2016,2,waivers,Broncos  Broncos,Broncos  Broncos,02/10,Jace Davis,,"Waived, No Recall"
22,2016,2,waivers,Saints  Saints,--,02/09,Seantavius Jones,,"Terminated Via Waivers, all contracts"
23,2016,2,waivers,Colts  Colts,Colts  Colts,02/09,Ryan Lindley,,"Waived, No Recall"
24,2016,2,waivers,Patriots  Patriots,Patriots  Patriots,02/09,Montee Ball,,"Waived, No Recall"
0,2016,3,waivers,Colts  Colts,--,03/31,Pierce Burton,,"Terminated Via Waivers, all contracts"
1,2016,3,waivers,Colts  Colts,--,03/31,Josh Mitchell,,"Terminated Via Waivers, all contracts"
2,2016,3,waivers,Jaguars  Jaguars,Jaguars  Jaguars,03/31,Damian Copeland,,"Waived, No Recall"
3,2016,3,waivers,Colts  Colts,Colts  Colts,03/30,Josh Mitchell,,"Waived, No Recall"
4,2016,3,waivers,Seahawks  Seahawks,--,03/25,Andrew East,,"Terminated Via Waivers, all contracts"
5,2016,3,waivers,Seahawks  Seahawks,Seahawks  Seahawks,03/24,Andrew East,,"Waived, No Recall"
6,2016,3,waivers,Browns  Browns,--,03/12,Johnny Manziel,,"Terminated Via Waivers, all contracts"
7,2016,3,waivers,Cardinals  Cardinals,--,03/11,Damond Powell,,"Terminated Via Waivers, all contracts"
8,2016,3,waivers,Browns  Browns,Browns  Browns,03/11,Johnny Manziel,,"Waived, No Recall"
9,2016,3,waivers,Colts  Colts,--,03/09,Bjoern Werner,,"Terminated Via Waivers, all contracts"
10,2016,3,waivers,Seahawks  Seahawks,--,03/09,Jesse Williams,,"Terminated Via Waivers, all contracts"
11,2016,3,waivers,Vikings  Vikings,--,03/09,Austin Wentworth,,"Terminated Via Waivers, all contracts"
12,2016,3,waivers,Colts  Colts,Colts  Colts,03/08,Bjoern Werner,,"Waived, No Recall"
13,2016,3,waivers,Vikings  Vikings,Vikings  Vikings,03/08,Austin Wentworth,,"Waived, No Recall"
14,2016,3,waivers,Seahawks  Seahawks,Seahawks  Seahawks,03/08,Jesse Williams,,"Waived, No Recall"
15,2016,3,waivers,Chargers  Chargers,--,03/04,Chi Chi Ariguzo,,"Terminated Via Waivers, all contracts"
16,2016,3,waivers,Cowboys  Cowboys,--,03/03,Michael Hill,,"Terminated Via Waivers, all contracts"
17,2016,3,waivers,Cowboys  Cowboys,--,03/03,Efe Obada,,"Terminated Via Waivers, all contracts"
18,2016,3,waivers,Cowboys  Cowboys,--,03/03,Cody Clay,,"Terminated Via Waivers, all contracts"
19,2016,3,waivers,Cowboys  Cowboys,--,03/03,Donte Foster,,"Terminated Via Waivers, all contracts"
20,2016,3,waivers,Chargers  Chargers,Chargers  Chargers,03/03,Chi Chi Ariguzo,,"Waived, No Recall"
21,2016,3,waivers,Steelers  Steelers,--,03/02,Micah Hatchie,,"Terminated Via Waivers, all contracts"
22,2016,3,waivers,Cowboys  Cowboys,Cowboys  Cowboys,03/02,Efe Obada,,"Waived, No Recall"
23,2016,3,waivers,Cowboys  Cowboys,Cowboys  Cowboys,03/02,Michael Hill,,"Waived, No Recall"
24,2016,3,waivers,Cowboys  Cowboys,Cowboys  Cowboys,03/02,Cody Clay,,"Waived, No Recall"
0,2016,4,waivers,Dolphins  Dolphins,--,04/29,Damarr Aultman,,"Terminated Via Waivers, all contracts"
1,2016,4,waivers,Seahawks  Seahawks,--,04/29,Phillip Sims,,"Terminated Via Waivers, all contracts"
2,2016,4,waivers,Dolphins  Dolphins,--,04/29,Robert Herron,,"Terminated Via Waivers, all contracts"
3,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Andre Davis,,"Waived, No Recall"
4,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Darius Eubanks,,"Waived, No Recall"
5,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Antoine Everett,,"Waived, No Recall"
6,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Gerod Holliman,,"Waived, No Recall"
7,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Derrick Lott,,"Waived, No Recall"
8,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Kimario McFadden,,"Waived, No Recall"
9,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,Jermauria Rasco,,"Waived, No Recall"
10,2016,4,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,04/29,C.J. Roberts,,"Waived, No Recall"
11,2016,4,waivers,Bills  Bills,Bills  Bills,04/29,Jacob Maxwell,,"Waived, No Recall"
12,2016,4,waivers,Bills  Bills,Bills  Bills,04/29,A.J. Tarpley,,"Waived, No Recall"
13,2016,4,waivers,Dolphins  Dolphins,Panthers  Panthers,04/29,Robert Thomas,,Assigned via Waivers
14,2016,4,waivers,Dolphins  Dolphins,Dolphins  Dolphins,04/28,Damarr Aultman,,"Waived, No Recall"
15,2016,4,waivers,Dolphins  Dolphins,Dolphins  Dolphins,04/28,Robert Herron,,"Waived, No Recall"
16,2016,4,waivers,Dolphins  Dolphins,Dolphins  Dolphins,04/28,Robert Thomas,,"Waived, No Recall"
17,2016,4,waivers,Seahawks  Seahawks,Seahawks  Seahawks,04/28,Phillip Sims,,"Waived, No Recall"
18,2016,4,waivers,Packers  Packers,--,04/26,Ray Drew,,"Terminated Via Waivers, all contracts"
19,2016,4,waivers,Saints  Saints,--,04/26,Tavaris Barnes,,"Terminated Via Waivers, all contracts"
20,2016,4,waivers,Saints  Saints,--,04/26,Vinnie Sunseri,,"Terminated Via Waivers, all contracts"
21,2016,4,waivers,Falcons  Falcons,--,04/25,Adam Replogle,,"Terminated Via Waivers, all contracts"
22,2016,4,waivers,Falcons  Falcons,--,04/25,Beau Gardner,,"Terminated Via Waivers, all contracts"
23,2016,4,waivers,Saints  Saints,Saints  Saints,04/25,Tavaris Barnes,,"Waived, No Recall"
24,2016,4,waivers,Saints  Saints,Saints  Saints,04/25,Vinnie Sunseri,,"Waived, No Recall"
0,2016,5,waivers,Raiders  Raiders,--,05/31,Robert Herron,,"Terminated Via Waivers, all contracts"
1,2016,5,waivers,Packers  Packers,--,05/31,Ryan Williams,,"Terminated Via Waivers, all contracts"
2,2016,5,waivers,Vikings  Vikings,Vikings  Vikings,05/31,B.J. Dubose,,"Waived, Injured, Prior to Cut to 53"
3,2016,5,waivers,Cardinals  Cardinals,Cardinals  Cardinals,05/31,Edawn Coughman,,"Waived, No Recall"
4,2016,5,waivers,Bears  Bears,--,05/26,Danny Mason,,"Terminated Via Waivers, all contracts"
5,2016,5,waivers,Packers  Packers,--,05/26,Vince Kowalski,,"Terminated Via Waivers, all contracts"
6,2016,5,waivers,Buccaneers  Buccaneers,--,05/26,C.J. Wilson,,"Terminated Via Waivers, all contracts"
7,2016,5,waivers,Falcons  Falcons,--,05/26,Cody Elenz,,"Terminated Via Waivers, all contracts"
8,2016,5,waivers,Lions  Lions,Lions  Lions,05/26,Timothy Wright,,"Waived, Injured, Prior to Cut to 53"
9,2016,5,waivers,Raiders  Raiders,Raiders  Raiders,05/26,Robert Herron,,"Waived, No Recall"
10,2016,5,waivers,Packers  Packers,Packers  Packers,05/26,Ryan Williams,,"Waived, No Recall"
11,2016,5,waivers,Raiders  Raiders,--,05/25,Garrett Gilbert,,"Terminated Via Waivers, all contracts"
12,2016,5,waivers,Cowboys  Cowboys,--,05/25,Jason Neill,,"Terminated Via Waivers, all contracts"
13,2016,5,waivers,Panthers  Panthers,--,05/25,Jake McGee,,"Terminated Via Waivers, all contracts"
14,2016,5,waivers,Bears  Bears,Bears  Bears,05/25,Danny Mason,,"Waived, No Recall"
15,2016,5,waivers,Packers  Packers,Packers  Packers,05/25,Vince Kowalski,,"Waived, No Recall"
16,2016,5,waivers,Buccaneers  Buccaneers,Buccaneers  Buccaneers,05/25,C.J. Wilson,,"Waived, No Recall"
17,2016,5,waivers,Falcons  Falcons,Falcons  Falcons,05/25,Cody Elenz,,"Waived, No Recall"
18,2016,5,waivers,Jets  Jets,Titans  Titans,05/25,Jerome Cunningham,,Assigned via Waivers
19,2016,5,waivers,Saints  Saints,--,05/24,Chris Highland,,"Terminated Via Waivers, all contracts"
20,2016,5,waivers,Eagles  Eagles,--,05/24,Ryan Quigley,,"Terminated Via Waivers, all contracts"
21,2016,5,waivers,Vikings  Vikings,--,05/24,Brandon Ross,,"Terminated Via Waivers, all contracts"
22,2016,5,waivers,Jets  Jets,Jets  Jets,05/24,Jerome Cunningham,,"Waived, No Recall"
23,2016,5,waivers,Cowboys  Cowboys,Cowboys  Cowboys,05/24,Jason Neill,,"Waived, No Recall"
24,2016,5,waivers,Raiders  Raiders,Raiders  Raiders,05/24,Garrett Gilbert,,"Waived, No Recall"
0,2016,6,waivers,Browns  Browns,Browns  Browns,06/30,Connor Shaw,,"Waived, No Recall"
1,2016,6,waivers,Seahawks  Seahawks,--,06/29,Jeff Fuller,,"Terminated Via Waivers, all contracts"
2,2016,6,waivers,Seahawks  Seahawks,--,06/29,Khairi Fortt,,"Terminated Via Waivers, all contracts"
3,2016,6,waivers,Seahawks  Seahawks,Seahawks  Seahawks,06/28,Jeff Fuller,,"Waived, No Recall"
4,2016,6,waivers,Seahawks  Seahawks,Seahawks  Seahawks,06/28,Khairi Fortt,,"Waived, No Recall"
5,2016,6,waivers,Rams  Rams,--,06/27,Matt Wells,,"Terminated Via Waivers, all contracts"
6,2016,6,waivers,Rams  Rams,--,06/27,J.J. Worton,,"Terminated Via Waivers, all contracts"
7,2016,6,waivers,Rams  Rams,Rams  Rams,06/24,Matt Wells,,"Waived, No Recall"
8,2016,6,waivers,Rams  Rams,Rams  Rams,06/24,J.J. Worton,,"Waived, No Recall"
9,2016,6,waivers,Lions  Lions,--,06/22,Dominick Jackson,,"Terminated Via Waivers, all contracts"
10,2016,6,waivers,Lions  Lions,Lions  Lions,06/21,Dominick Jackson,,"Waived, No Recall"
11,2016,6,waivers,Giants  Giants,--,06/20,B.J. Daniels,,"Terminated Via Waivers, all contracts"
12,2016,6,waivers,Lions  Lions,--,06/20,Corey Washington,,"Terminated Via Waivers, all contracts"
13,2016,6,waivers,Jets  Jets,--,06/20,Quenton Bundrage,,"Terminated Via Waivers, all contracts"
14,2016,6,waivers,Vikings  Vikings,--,06/17,Bruce Gaston,,"Terminated Via Waivers, all contracts"
15,2016,6,waivers,Dolphins  Dolphins,--,06/17,Charles Tuaau,,"Terminated Via Waivers, all contracts"
16,2016,6,waivers,Bears  Bears,--,06/17,Kenton Adeyemi,,"Terminated Via Waivers, all contracts"
17,2016,6,waivers,Chiefs  Chiefs,--,06/17,Bryce Cheek,,"Terminated Via Waivers, all contracts"
18,2016,6,waivers,Jaguars  Jaguars,--,06/17,Quanterus Smith,,"Terminated Via Waivers, all contracts"
19,2016,6,waivers,Jaguars  Jaguars,--,06/17,Craig Loston,,"Terminated Via Waivers, all contracts"
20,2016,6,waivers,Jaguars  Jaguars,--,06/17,Rashaad Reynolds,,"Terminated Via Waivers, all contracts"
21,2016,6,waivers,Lions  Lions,--,06/17,James DeLoach,,"Terminated Via Waivers, all contracts"
22,2016,6,waivers,Bears  Bears,--,06/17,Don Cherry,,"Terminated Via Waivers, all contracts"
23,2016,6,waivers,Bengals  Bengals,--,06/17,Gionni Paul,,"Terminated Via Waivers, all contracts"
24,2016,6,waivers,Jets  Jets,Jets  Jets,06/17,Quenton Bundrage,,"Waived, No Recall"
0,2016,7,waivers,Cardinals  Cardinals,--,07/31,Rico Richardson,,"Terminated Via Waivers, all contracts"
1,2016,7,waivers,Dolphins  Dolphins,--,07/31,Jake Stoneburner,,"Terminated Via Waivers, all contracts"
2,2016,7,waivers,Bears  Bears,--,07/31,Ben LeCompte,,"Terminated Via Waivers, all contracts"
3,2016,7,waivers,Dolphins  Dolphins,Dolphins  Dolphins,07/31,Tyler Patmon,,"Waived, No Recall"
4,2016,7,waivers,Bills  Bills,Bills  Bills,07/31,Cedric Reed,,"Waived, No Recall"
5,2016,7,waivers,Chiefs  Chiefs,Chiefs  Chiefs,07/31,Tre Jones,,"Waived, Injured, Prior to Cut to 53"
6,2016,7,waivers,Seahawks  Seahawks,Seahawks  Seahawks,07/31,Tyler Slavin,,"Waived, Injured, Prior to Cut to 53"
7,2016,7,waivers,Chargers  Chargers,Chargers  Chargers,07/31,Terrell Chestnut,,"Waived, Injured, Prior to Cut to 53"
8,2016,7,waivers,Chargers  Chargers,Chargers  Chargers,07/31,Carlos Wray,,"Waived, Injured, Prior to Cut to 53"
9,2016,7,waivers,Colts  Colts,Colts  Colts,07/31,Nick Truesdell,,"Waived, No Recall"
10,2016,7,waivers,Saints  Saints,Saints  Saints,07/31,Ryker Mathews,,"Waived, Injured, Prior to Cut to 53"
11,2016,7,waivers,Rams  Rams,Rams  Rams,07/31,Deon Long,,"Waived, No Recall"
12,2016,7,waivers,Colts  Colts,--,07/30,Michael Miller,,"Terminated Via Waivers, all contracts"
13,2016,7,waivers,Seahawks  Seahawks,--,07/30,Lene Maiava,,"Terminated Via Waivers, all contracts"
14,2016,7,waivers,Giants  Giants,--,07/30,Donte Foster,,"Terminated Via Waivers, all contracts"
15,2016,7,waivers,Giants  Giants,--,07/30,Melvin Lewis,,"Terminated Via Waivers, all contracts"
16,2016,7,waivers,Titans  Titans,--,07/30,Sam Carlson,,"Terminated Via Waivers, all contracts"
17,2016,7,waivers,Cardinals  Cardinals,Cardinals  Cardinals,07/30,Rico Richardson,,"Waived, No Recall"
18,2016,7,waivers,Bears  Bears,Bears  Bears,07/30,Ben LeCompte,,"Waived, No Recall"
19,2016,7,waivers,Dolphins  Dolphins,Dolphins  Dolphins,07/30,Jake Stoneburner,,"Waived, No Recall"
20,2016,7,waivers,Lions  Lions,--,07/29,Jerry Franklin,,"Terminated Via Waivers, all contracts"
21,2016,7,waivers,Lions  Lions,--,07/29,Damian Copeland,,"Terminated Via Waivers, all contracts"
22,2016,7,waivers,Broncos  Broncos,--,07/29,Manasseh Garner,,"Terminated Via Waivers, all contracts"
23,2016,7,waivers,Falcons  Falcons,--,07/29,Daje Johnson,,"Terminated Via Waivers, all contracts"
24,2016,7,waivers,Jets  Jets,--,07/29,Tom Hackett,,"Terminated Via Waivers, all contracts"
0,2016,8,waivers,Jaguars  Jaguars,--,08/31,Ryan Quigley,,"Terminated Via Waivers, all contracts"
1,2016,8,waivers,Titans  Titans,--,08/31,Blidi Wreh-Wilson,,"Terminated Via Waivers, all contracts"
2,2016,8,waivers,Lions  Lions,--,08/31,Brandon McGee,,"Terminated Via Waivers, all contracts"
3,2016,8,waivers,Giants  Giants,--,08/31,Cooper Taylor,,"Terminated Via Waivers, all contracts"
4,2016,8,waivers,Jaguars  Jaguars,--,08/31,Demetrius McCray,,"Terminated Via Waivers, all contracts"
5,2016,8,waivers,Vikings  Vikings,--,08/31,Brad Sorensen,,"Terminated Via Waivers, all contracts"
6,2016,8,waivers,Vikings  Vikings,--,08/31,Brian Leonhardt,,"Terminated Via Waivers, all contracts"
7,2016,8,waivers,Jaguars  Jaguars,--,08/31,Joplo Bartu,,"Terminated Via Waivers, all contracts"
8,2016,8,waivers,Vikings  Vikings,--,08/31,Troy Stoudermire,,"Terminated Via Waivers, all contracts"
9,2016,8,waivers,Vikings  Vikings,--,08/31,Terrell Sinkfield,,"Terminated Via Waivers, all contracts"
10,2016,8,waivers,Patriots  Patriots,--,08/31,Keavon Milton,,"Terminated Via Waivers, all contracts"
11,2016,8,waivers,Titans  Titans,--,08/31,Donte Foster,,"Terminated Via Waivers, all contracts"
12,2016,8,waivers,Giants  Giants,--,08/31,Davon Coleman,,"Terminated Via Waivers, all contracts"
13,2016,8,waivers,Saints  Saints,--,08/31,RaShaun Allen,,"Terminated Via Waivers, all contracts"
14,2016,8,waivers,Titans  Titans,--,08/31,Tyler Patmon,,"Terminated Via Waivers, all contracts"
15,2016,8,waivers,Titans  Titans,--,08/31,Deiontrez Mount,,"Terminated Via Waivers, all contracts"
16,2016,8,waivers,Saints  Saints,--,08/31,Tony Steward,,"Terminated Via Waivers, all contracts"
17,2016,8,waivers,Titans  Titans,--,08/31,Amarlo Herrera,,"Terminated Via Waivers, all contracts"
18,2016,8,waivers,Seahawks  Seahawks,--,08/31,Kristjan Sokoli,,"Terminated Via Waivers, all contracts"
19,2016,8,waivers,Steelers  Steelers,--,08/31,Kevin White,,"Terminated Via Waivers, all contracts"
20,2016,8,waivers,Broncos  Broncos,--,08/31,Kyle Roberts,,"Terminated Via Waivers, all contracts"
21,2016,8,waivers,Seahawks  Seahawks,--,08/31,Quayshawn Nealy,,"Terminated Via Waivers, all contracts"
22,2016,8,waivers,Texans  Texans,--,08/31,Carlos Thompson,,"Terminated Via Waivers, all contracts"
23,2016,8,waivers,Bills  Bills,--,08/31,Jimmay Mundine,,"Terminated Via Waivers, all contracts"
24,2016,8,waivers,Saints  Saints,--,08/31,Chris Highland,,"Terminated Via Waivers, all contracts"
0,2016,9,waivers,Steelers  Steelers,--,09/30,Daryl Richardson,,"Terminated Via Waivers, all contracts"
1,2016,9,waivers,Seahawks  Seahawks,--,09/30,Terrence Magee,,"Terminated Via Waivers, all contracts"
2,2016,9,waivers,Bengals  Bengals,--,09/30,Trevor Roach,,"Terminated Via Waivers, all contracts"
3,2016,9,waivers,Browns  Browns,Browns  Browns,09/30,Michael Bowie,,"Waived, No Recall"
4,2016,9,waivers,Panthers  Panthers,Panthers  Panthers,09/30,Kevin Norwood,,"Waived, No Recall"
5,2016,9,waivers,Dolphins  Dolphins,Bills  Bills,09/30,Justin Hunter,,Assigned via Waivers
6,2016,9,waivers,Jets  Jets,--,09/29,Dee Milliner,,"Terminated Via Waivers, all contracts"
7,2016,9,waivers,Rams  Rams,--,09/29,Isaiah Johnson,,"Terminated Via Waivers, all contracts"
8,2016,9,waivers,Dolphins  Dolphins,Dolphins  Dolphins,09/29,Justin Hunter,,"Waived, No Recall"
9,2016,9,waivers,Seahawks  Seahawks,Seahawks  Seahawks,09/29,Terrence Magee,,"Waived, No Recall"
10,2016,9,waivers,Bengals  Bengals,Bengals  Bengals,09/29,Trevor Roach,,"Waived, No Recall"
11,2016,9,waivers,Steelers  Steelers,Steelers  Steelers,09/29,Daryl Richardson,,"Waived, No Recall"
12,2016,9,waivers,Panthers  Panthers,--,09/28,Marcus Ball,,"Terminated Via Waivers, all contracts"
13,2016,9,waivers,Bears  Bears,--,09/28,Greg Scruggs,,"Terminated Via Waivers, all contracts"
14,2016,9,waivers,Bills  Bills,--,09/28,Jordan Gay,,"Terminated Via Waivers, all contracts"
15,2016,9,waivers,Bills  Bills,--,09/28,James Wilder Jr.,,"Terminated Via Waivers, all contracts"
16,2016,9,waivers,Bears  Bears,--,09/28,Jonathan Anderson,,"Terminated Via Waivers, all contracts"
17,2016,9,waivers,Saints  Saints,--,09/28,Kyle Prater,,"Terminated Via Waivers, all contracts"
18,2016,9,waivers,Cardinals  Cardinals,--,09/28,Kameron Canaday,,"Terminated Via Waivers, all contracts"
19,2016,9,waivers,Chargers  Chargers,--,09/28,Terrell Chestnut,,"Terminated Via Waivers, all contracts"
20,2016,9,waivers,Jets  Jets,Jets  Jets,09/28,Dee Milliner,,"Waived, No Recall"
21,2016,9,waivers,Cardinals  Cardinals,Rams  Rams,09/28,Marqui Christian,,Assigned via Waivers
22,2016,9,waivers,Rams  Rams,Rams  Rams,09/28,Isaiah Johnson,,"Waived, No Recall"
23,2016,9,waivers,Jets  Jets,--,09/27,Julian Stanford,,"Terminated Via Waivers, all contracts"
24,2016,9,waivers,Lions  Lions,--,09/27,Zaviar Gooden,,"Terminated Via Waivers, all contracts"
0,2016,10,waivers,Redskins  Redskins,--,10/31,Josh Evans,,"Terminated Via Waivers, all contracts"
1,2016,10,waivers,Chargers  Chargers,--,10/31,Pierre Desir,,"Terminated Via Waivers, all contracts"
2,2016,10,waivers,Bills  Bills,--,10/31,Manasseh Garner,,"Terminated Via Waivers, all contracts"
3,2016,10,waivers,Bills  Bills,--,10/31,Ed Eagan,,"Terminated Via Waivers, all contracts"
4,2016,10,waivers,Browns  Browns,Browns  Browns,10/31,Connor Hamlett,,"Waived, No Recall"
5,2016,10,waivers,Packers  Packers,Packers  Packers,10/31,Knile Davis,,"Waived, No Recall"
6,2016,10,waivers,Packers  Packers,Packers  Packers,10/31,Chris Banjo,,"Waived, Injury Settlement"
7,2016,10,waivers,Jets  Jets,Chargers  Chargers,10/31,Jeremy Butler,,Assigned via Waivers
8,2016,10,waivers,Chargers  Chargers,Chargers  Chargers,10/31,Isaiah Burse,,"Waived, No Recall"
9,2016,10,waivers,Jets  Jets,Jets  Jets,10/29,Jeremy Butler,,"Waived, No Recall"
10,2016,10,waivers,Chargers  Chargers,Chargers  Chargers,10/29,Pierre Desir,,"Waived, No Recall"
11,2016,10,waivers,Packers  Packers,--,10/28,Jared Abbrederis,,"Terminated Via Waivers, all contracts"
12,2016,10,waivers,Redskins  Redskins,Redskins  Redskins,10/28,Josh Evans,,"Waived, No Recall"
13,2016,10,waivers,Bills  Bills,Bills  Bills,10/28,Ed Eagan,,"Waived, No Recall"
14,2016,10,waivers,Bills  Bills,Bills  Bills,10/28,Manasseh Garner,,"Waived, No Recall"
15,2016,10,waivers,Dolphins  Dolphins,--,10/27,Julius Warmsley,,"Terminated Via Waivers, all contracts"
16,2016,10,waivers,Packers  Packers,Packers  Packers,10/27,Jared Abbrederis,,"Waived, Injury Settlement"
17,2016,10,waivers,Bears  Bears,--,10/26,Jacoby Glenn,,"Terminated Via Waivers, all contracts"
18,2016,10,waivers,Bills  Bills,--,10/26,Michael Ola,,"Terminated Via Waivers, all contracts"
19,2016,10,waivers,Saints  Saints,--,10/26,Chris McCain,,"Terminated Via Waivers, all contracts"
20,2016,10,waivers,Dolphins  Dolphins,Dolphins  Dolphins,10/26,Julius Warmsley,,"Waived, No Recall"
21,2016,10,waivers,Patriots  Patriots,--,10/25,Anthony Johnson,,"Terminated Via Waivers, all contracts"
22,2016,10,waivers,Browns  Browns,--,10/25,Malcolm Johnson,,"Terminated Via Waivers, all contracts"
23,2016,10,waivers,Cardinals  Cardinals,--,10/25,Durell Eskridge,,"Terminated Via Waivers, all contracts"
24,2016,10,waivers,Browns  Browns,--,10/25,Darius Hillary,,"Terminated Via Waivers, all contracts"
0,2016,11,waivers,Buccaneers  Buccaneers,--,11/30,Louis Murphy,,"Terminated Via Waivers, all contracts"
1,2016,11,waivers,Buccaneers  Buccaneers,--,11/30,Mike James,,"Terminated Via Waivers, all contracts"
2,2016,11,waivers,Falcons  Falcons,--,11/30,Matt Wile,,"Terminated Via Waivers, all contracts"
3,2016,11,waivers,Redskins  Redskins,--,11/30,Rick Lovato,,"Terminated Via Waivers, all contracts"
4,2016,11,waivers,Browns  Browns,--,11/30,Joe Callahan,,"Terminated Via Waivers, all contracts"
5,2016,11,waivers,Dolphins  Dolphins,Dolphins  Dolphins,11/30,Leon Orr,,"Waived, No Recall"
6,2016,11,waivers,Cardinals  Cardinals,--,11/29,Christian Bryant,,"Terminated Via Waivers, all contracts"
7,2016,11,waivers,Patriots  Patriots,--,11/29,D.J. Foster,,"Terminated Via Waivers, all contracts"
8,2016,11,waivers,Titans  Titans,--,11/29,Perrish Cox,,"Terminated Via Waivers, all contracts"
9,2016,11,waivers,Browns  Browns,Browns  Browns,11/29,Joe Callahan,,"Waived, No Recall"
10,2016,11,waivers,Redskins  Redskins,Redskins  Redskins,11/29,Rick Lovato,,"Waived, No Recall"
